courseId,bankName,bankType,evaluationType,scopeType,scopeOrder,question,labelA,labelB,labelC,labelD,isCorrect
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,A financial market primarily exists to:,Predict future price direction,Facilitate risk transfer and price discovery,Guarantee profit opportunities,Eliminate volatility,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,Every executed trade in a financial market requires:,A broker's approval,A price prediction,A counterparty,A news event,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,The term price discovery refers to:,Random price movement,Broker price adjustment,The process of buyers and sellers agreeing on value,Indicator-based forecasting,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,Which is NOT a structural component of a financial market?,Participants,Liquidity,Emotional sentiment,Pricing mechanism,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,The spread in MT5 represents:,Broker commission only,Difference between bid and ask prices,Market manipulation,Future volatility,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,"If aggressive buying exceeds sell orders, price will likely:",Remain unchanged,Decrease,Increase,Freeze,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,Why is the broker not the market?,Brokers do not display charts,They provide access to liquidity networks,They set global prices,They eliminate risk,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,A continuous auction means:,Fixed bidding sessions,Buyers and sellers constantly compete,Daily manual price adjustment,Central banks control trades,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,If no opposing orders exist:,Price rises,Price falls,No trade occurs,Broker intervenes,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,Price moves in increments because:,Indicators create movement,Orders execute at discrete levels,Broker delays execution,Markets are emotional,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,Spread expansion during volatility most likely reflects:,Chart error,Increased liquidity,Reduced liquidity or uncertainty,Retail coordination,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,Believing the market moved personally ignores:,Randomness,Order interaction,Broker control,Indicator prediction,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,If price fails to rise despite buying pressure:,Broker rejected orders,Strong sell liquidity exists,No news released,Market closed,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,Switching from M1 to H1 shows fewer candles because of:,Manipulation,Time aggregation of transactions,Reduced liquidity,Platform distortion,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,Confusing broker with market leads to:,Better execution,Improved liquidity understanding,Misinterpretation of spread and slippage,Reduced emotion,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Which participant group primarily provides liquidity in the FX market?,Retail traders,Commercial and investment banks,Technical analysts,Social trading groups,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Corporations typically participate in financial markets to:,Day trade price patterns,Speculate on short-term volatility,Hedge operational exposure,Manipulate currency prices,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Hedge funds primarily aim to:,Stabilize currency values,Provide retail education,Generate performance returns within risk limits,Set global interest rates,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Central banks influence markets primarily through:,Technical indicators,Monetary policy decisions,Retail volume,Broker spreads,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Retail traders access markets mainly through:,Central banks,Direct interbank agreements,Brokerage platforms like MT5,Corporate treasury desks,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Why do banks quote both bid and ask prices?,To eliminate competition,To manage inventory risk while facilitating transactions,To predict direction,To guarantee profits,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Retail traders do not significantly move major currency pairs because:,They trade emotionally,They lack technical knowledge,Their position sizes are small relative to global liquidity,Brokers restrict orders,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Asset managers typically operate on longer horizons because:,They must meet portfolio mandates,They cannot access short-term charts,They avoid volatility entirely,They trade commodities only,A
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,"When institutional liquidity withdraws, the likely result is:",Tighter spreads,Reduced volatility,Wider spreads and faster price movement,Guaranteed trend continuation,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Retail traders primarily:,Create global liquidity,Consume available liquidity,Set interest rates,Control volatility,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Corporations hedge currency exposure to:,Outperform hedge funds,Stabilize operational costs,Increase speculative gains,Influence policy,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Rapid price movement during economic announcements most likely reflects:,Retail coordination,Institutional repositioning,Platform malfunction,Indicator activity,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Sharp movement during central bank decisions reflects:,Retail coordination,Institutional reaction to monetary policy,Spread miscalculation,Chart error,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,A sudden spike against a trader most likely reflects:,Retail revenge trading,Large-scale liquidity interaction,Broker distortion,Indicator repainting,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Erratic movement during low-liquidity hours reflects:,Retail control,Institutional liquidity withdrawal,Central bank intervention,Fixed pricing,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,The primary role of a broker is to:,Set global currency prices,Guarantee profitable trades,Provide access to liquidity networks,Eliminate slippage,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,A Liquidity Provider (LP) is typically:,A retail group,A commercial or investment bank,A technical indicator,A signal service,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,The spread is defined as:,Broker commission,Difference between high and low,Difference between bid and ask,Margin requirement,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,Slippage occurs when:,Broker changes account type,Executed price differs from requested price,Market closes,Indicator repaints,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,Market Execution in MT5 means:,Filled at best available price,Guaranteed requested price,No spread applies,Requotes mandatory,A
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,Liquidity providers quote both bid and ask to:,Eliminate competition,Manage inventory risk and facilitate trades,Control retail traders,Avoid volatility,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,Thin liquidity conditions typically result in:,Tighter spreads,Reduced slippage,Wider spreads and execution variability,Guaranteed stability,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,The execution path begins when:,Central bank approves order,Trader clicks Buy or Sell in MT5,Broker predicts direction,Spread narrows,B
