courseId,bankName,bankType,evaluationType,scopeType,scopeOrder,question,labelA,labelB,labelC,labelD,isCorrect
cmlf8ui0u0000os5iqlycmegv,Module 1 - Assessment,ASSESSMENT,ASSESSMENT,MODULE,1,"If liquidity providers withdraw during volatility, the likely effect is:",Tighter spreads,Wider spreads and faster price movement,Zero slippage,Fixed pricing,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Assessment,ASSESSMENT,ASSESSMENT,MODULE,1,A breakout above equal highs with acceleration reflects:,Retail manipulation,Liquidity consumption and imbalance,Indicator repainting,Broker error,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Assessment,ASSESSMENT,ASSESSMENT,MODULE,1,Slippage increases during economic releases because:,Broker delays,Liquidity and price update rapidly,Retail coordination,Spread disappears,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Assessment,ASSESSMENT,ASSESSMENT,MODULE,1,Interbank liquidity depth is most influenced by:,Retail traders,Commercial and investment banks,Indicators,News agencies,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Assessment,ASSESSMENT,ASSESSMENT,MODULE,1,Repeated failure at a price level suggests:,Emotional retail activity,Strong opposing liquidity,Market closure,Spread elimination,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Assessment,ASSESSMENT,ASSESSMENT,MODULE,1,Sharp index movement at session open reflects:,Retail coordination,Increased institutional participation,Indicator recalculation,Broker intervention,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Assessment,ASSESSMENT,ASSESSMENT,MODULE,1,Stop distance must align with volatility to:,Eliminate risk,Match expected fluctuation,Guarantee profit,Reduce spread,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Assessment,ASSESSMENT,ASSESSMENT,MODULE,1,A broker primarily provides:,Global price control,Liquidity access,Directional signals,Monetary policy,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Assessment,ASSESSMENT,ASSESSMENT,MODULE,1,Tick value differences are determined by:,Timeframe,Contract specification,Indicator type,Retail volume,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Assessment,ASSESSMENT,ASSESSMENT,MODULE,1,Markets are continuous auctions because:,Prices fixed daily,Buyers and sellers constantly compete,Central banks set intraday prices,Spread constant,B
